epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.94188,1.68971,3.37134,0.9473,0.00954,0.98438,0.0348,0.01839,1.26436,3.45455,0.81061,0.000326306,0.000326306,0.000326306
2,9.56184,1.36053,1.27611,0.85256,1,0.33193,0.98054,0.66404,1.13381,2.05265,0.83836,0.000659545,0.000659545,0.000659545
3,13.0816,1.21608,0.89836,0.8336,0.99341,1,0.995,0.68741,1.05638,0.9154,0.81901,0.000992136,0.000992136,0.000992136
4,16.5631,1.13862,0.76299,0.83745,0.94084,0.98517,0.995,0.69232,1.05512,0.75345,0.81989,0.00132359,0.00132359,0.00132359
5,19.9726,1.11832,0.7224,0.82822,0.9974,1,0.995,0.72185,0.99918,0.60646,0.82051,0.00165343,0.00165343,0.00165343
6,23.3784,1.09022,0.6925,0.83952,0.99695,1,0.995,0.73162,0.97603,0.59033,0.80289,0.00165684,0.00165684,0.00165684
7,26.8338,1.05802,0.65474,0.82387,0.99042,1,0.995,0.72181,0.96458,0.5738,0.80048,0.00165238,0.00165238,0.00165238
8,30.3086,1.02885,0.62613,0.82147,0.99575,1,0.995,0.76027,0.92276,0.52573,0.80575,0.00164713,0.00164713,0.00164713
9,33.6763,1.03802,0.60204,0.81673,0.99692,1,0.995,0.7006,1.0348,0.54076,0.80642,0.00164108,0.00164108,0.00164108
10,37.0453,1.03854,0.59787,0.82392,0.99582,1,0.995,0.73445,0.96661,0.52028,0.81069,0.00163424,0.00163424,0.00163424
11,40.4194,0.99917,0.57347,0.81907,0.99482,1,0.995,0.75741,0.93319,0.4933,0.805,0.00162661,0.00162661,0.00162661
12,43.7766,1.0217,0.55564,0.81789,0.99531,1,0.995,0.74108,0.86388,0.47903,0.79308,0.00161822,0.00161822,0.00161822
13,47.2098,0.9774,0.5502,0.80992,0.98819,1,0.995,0.76687,0.8606,0.47117,0.79063,0.00160905,0.00160905,0.00160905
14,50.6538,0.94144,0.53532,0.80379,0.99722,1,0.995,0.77021,0.8224,0.44126,0.79371,0.00159913,0.00159913,0.00159913
15,54.0935,0.92186,0.52919,0.80666,0.99651,1,0.995,0.74633,0.9012,0.46765,0.80002,0.00158847,0.00158847,0.00158847
16,57.4778,0.90288,0.5107,0.81066,0.99426,1,0.995,0.77617,0.85564,0.47631,0.79608,0.00157706,0.00157706,0.00157706
17,60.9629,0.94562,0.53261,0.81285,0.99579,1,0.995,0.77833,0.84206,0.46057,0.7894,0.00156493,0.00156493,0.00156493
18,64.5287,0.90187,0.50438,0.81565,0.9972,1,0.995,0.77056,0.8777,0.44103,0.79414,0.00155209,0.00155209,0.00155209
19,68.0571,0.93666,0.51566,0.812,0.9935,1,0.995,0.77395,0.85782,0.44961,0.79267,0.00153854,0.00153854,0.00153854
20,71.4945,0.94623,0.50802,0.81026,0.99659,1,0.995,0.78951,0.75605,0.4279,0.78938,0.00152431,0.00152431,0.00152431
21,74.8919,0.92331,0.50011,0.80715,0.9949,1,0.995,0.78121,0.80143,0.4318,0.79349,0.00150941,0.00150941,0.00150941
22,78.2561,0.88348,0.48777,0.80754,0.997,1,0.995,0.76894,0.85277,0.44503,0.7934,0.00149384,0.00149384,0.00149384
23,81.7046,0.88876,0.49222,0.80931,0.99482,1,0.995,0.80605,0.75802,0.41719,0.79184,0.00147764,0.00147764,0.00147764
24,85.183,0.90061,0.48048,0.80993,0.99737,1,0.995,0.79478,0.77901,0.39943,0.78835,0.0014608,0.0014608,0.0014608
25,88.5664,0.8705,0.46771,0.80405,0.99419,1,0.995,0.78433,0.77976,0.42218,0.78852,0.00144335,0.00144335,0.00144335
26,92.1181,0.85847,0.46249,0.80291,0.99722,1,0.995,0.78702,0.79146,0.41843,0.78658,0.00142531,0.00142531,0.00142531
27,95.547,0.8581,0.45883,0.80132,0.99788,1,0.995,0.80109,0.74991,0.42174,0.788,0.0014067,0.0014067,0.0014067
28,99.0151,0.82343,0.45679,0.79462,0.99803,1,0.995,0.79867,0.79418,0.42037,0.79021,0.00138753,0.00138753,0.00138753
29,102.457,0.87134,0.4666,0.8037,0.99505,1,0.995,0.76137,0.81564,0.44722,0.79129,0.00136781,0.00136781,0.00136781
30,105.944,0.89071,0.46775,0.80865,0.99746,1,0.995,0.81064,0.77073,0.39682,0.78862,0.00134758,0.00134758,0.00134758
31,109.422,0.81667,0.43938,0.8127,0.9972,1,0.995,0.80338,0.73729,0.38465,0.78979,0.00132685,0.00132685,0.00132685
32,112.868,0.80564,0.43949,0.8059,0.99627,1,0.995,0.77614,0.73981,0.39546,0.78333,0.00130565,0.00130565,0.00130565
33,116.277,0.82865,0.42734,0.80161,0.99757,1,0.995,0.78646,0.76847,0.38534,0.78617,0.00128398,0.00128398,0.00128398
34,119.776,0.81123,0.43041,0.79766,0.99635,1,0.995,0.80111,0.77605,0.41452,0.78616,0.00126188,0.00126188,0.00126188
35,123.259,0.82597,0.43552,0.80321,0.99806,1,0.995,0.79065,0.81378,0.4178,0.78892,0.00123936,0.00123936,0.00123936
36,126.771,0.84296,0.44368,0.81002,0.99525,1,0.995,0.78741,0.79277,0.43094,0.78857,0.00121645,0.00121645,0.00121645
37,130.269,0.8556,0.43631,0.81208,0.99796,1,0.995,0.8024,0.71352,0.3952,0.78636,0.00119317,0.00119317,0.00119317
38,133.633,0.82145,0.42992,0.79771,0.99789,1,0.995,0.80406,0.74529,0.39323,0.78495,0.00116955,0.00116955,0.00116955
39,137.022,0.79701,0.42851,0.80532,0.99779,1,0.995,0.80219,0.74007,0.39039,0.78547,0.0011456,0.0011456,0.0011456
40,140.415,0.82106,0.44164,0.80011,0.99718,1,0.995,0.80794,0.71751,0.39646,0.7859,0.00112135,0.00112135,0.00112135
41,143.806,0.82434,0.4249,0.81158,0.99813,1,0.995,0.81885,0.69882,0.38061,0.78631,0.00109683,0.00109683,0.00109683
42,147.19,0.81253,0.41901,0.80294,0.99807,1,0.995,0.81428,0.71587,0.38188,0.78704,0.00107205,0.00107205,0.00107205
43,150.584,0.79042,0.41538,0.80471,0.99722,1,0.995,0.8205,0.70745,0.3776,0.78401,0.00104705,0.00104705,0.00104705
44,153.983,0.76876,0.4043,0.80076,0.99726,1,0.995,0.82738,0.70249,0.37382,0.78298,0.00102184,0.00102184,0.00102184
45,157.396,0.74706,0.39578,0.79674,0.99749,1,0.995,0.82101,0.70176,0.36515,0.78401,0.000996456,0.000996456,0.000996456
46,160.783,0.78334,0.41396,0.80206,0.99746,1,0.995,0.82109,0.69391,0.36916,0.78518,0.000970919,0.000970919,0.000970919
47,164.222,0.77811,0.41673,0.80374,0.99786,1,0.995,0.82215,0.71946,0.37789,0.78892,0.000945256,0.000945256,0.000945256
48,167.689,0.77053,0.40105,0.80273,0.99778,1,0.995,0.83282,0.6893,0.37886,0.7854,0.00091949,0.00091949,0.00091949
49,171.149,0.77892,0.40101,0.79941,0.99744,1,0.995,0.81692,0.72535,0.3577,0.78504,0.000893648,0.000893648,0.000893648
50,174.705,0.77188,0.40379,0.79483,0.99722,1,0.995,0.81006,0.71098,0.38975,0.7823,0.000867754,0.000867754,0.000867754
51,178.231,0.76843,0.40935,0.79048,0.99593,1,0.995,0.84181,0.67298,0.36622,0.78369,0.000841835,0.000841835,0.000841835
52,181.663,0.75604,0.4007,0.79986,0.99813,1,0.995,0.83367,0.67218,0.36488,0.78434,0.000815916,0.000815916,0.000815916
53,185.104,0.7562,0.39072,0.80188,0.99753,1,0.995,0.82714,0.68307,0.36914,0.78538,0.000790022,0.000790022,0.000790022
54,188.648,0.771,0.40458,0.80524,0.99757,1,0.995,0.81563,0.7098,0.36174,0.78688,0.00076418,0.00076418,0.00076418
55,192.282,0.77472,0.3998,0.78709,0.99781,1,0.995,0.81762,0.74393,0.35596,0.78214,0.000738414,0.000738414,0.000738414
56,195.924,0.74659,0.38825,0.79089,0.99777,1,0.995,0.82583,0.72753,0.37168,0.78299,0.000712751,0.000712751,0.000712751
57,199.419,0.7366,0.40087,0.78748,0.99761,1,0.995,0.81535,0.70337,0.35435,0.78126,0.000687214,0.000687214,0.000687214
58,202.844,0.71502,0.38232,0.79145,0.9982,1,0.995,0.82562,0.65256,0.32759,0.78199,0.000661831,0.000661831,0.000661831
59,206.311,0.72138,0.37833,0.79471,0.99749,1,0.995,0.82319,0.69286,0.34333,0.78459,0.000636625,0.000636625,0.000636625
60,209.786,0.75546,0.37782,0.79222,0.99761,1,0.995,0.82498,0.67263,0.33837,0.78233,0.000611621,0.000611621,0.000611621
61,213.407,0.73487,0.38349,0.79813,0.99785,1,0.995,0.81658,0.70146,0.34133,0.78304,0.000586845,0.000586845,0.000586845
62,216.986,0.73874,0.37042,0.79035,0.99675,1,0.995,0.83113,0.67386,0.33962,0.78231,0.00056232,0.00056232,0.00056232
63,220.531,0.70751,0.36114,0.79245,0.99815,1,0.995,0.83047,0.68075,0.35231,0.78208,0.000538072,0.000538072,0.000538072
